Lp.	p1.1	p1.2	p1.3	p1.4	p1.5	p1.6	p1.7	p1.8	p2.1	p2.2	p2.3	p2.4	p2.5	p2.6	p2.7	p2.8	p3.1	p3.2	p3.3	p3.4	p3.5	p3.6	p3.7	p3.8	p4.1	p4.2	p4.3	p4.4	p4.5	p4.6	p4.7	p4.8	p5.1	p5.2	p5.3	p5.4	p5.5	p5.6	p5.7	p5.8	p6.1	p6.2	p6.3	p6.4	p6.5	p6.6	p6.7	p6.8	p7.1	p7.2	p7.3	p7.4	p7.5	p7.6	p7.7	p7.8	p8.1	p8.2	p8.3	p8.4	p8.5	p8.6	p8.7	p8.8	p9.1	p9.2	p9.3	p9.4	p9.5	p9.6	p9.7	p9.8	p10.1	p10.2	p10.3	p10.4	p10.5	p10.6	p10.7	p10.8	Klasa
11	255	255	255	101	3	255	79	255	122	255	0	255	69	0	20	255	255	0	255	255	255	255	0	255	86	255	255	255	255	255	255	0	0	30	255	113	255	181	255	252	0	255	255	255	255	255	14	0	0	0	0	0	0	0	0	0	98	255	255	255	255	255	226	0	209	30	130	255	255	249	255	0	0	104	198	255	164	67	89	63	A
12	255	255	255	0	134	93	255	255	255	255	0	255	108	0	24	255	255	100	240	255	255	255	0	242	0	255	23	8	255	102	101	0	0	255	255	255	255	91	243	192	24	255	255	255	255	255	255	0	0	254	39	145	93	0	174	0	0	169	255	255	169	88	255	0	182	255	255	197	113	47	174	253	0	255	240	255	111	255	32	0	A
13	188	225	130	142	0	255	88	255	100	255	9	173	255	0	241	255	219	0	255	19	118	255	15	131	61	255	255	146	151	247	255	125	0	144	196	134	255	59	255	0	100	29	255	255	255	255	222	0	214	0	0	124	0	0	0	0	0	255	50	249	108	255	255	0	111	89	52	255	255	255	255	0	0	76	177	159	88	140	255	162	A
14	107	255	255	134	0	13	255	141	255	128	0	209	51	214	114	221	153	78	255	152	105	255	0	33	0	255	140	97	255	150	82	65	178	255	255	139	97	195	255	0	54	255	101	255	255	255	255	243	97	175	5	242	0	231	181	64	18	16	255	255	255	107	255	0	170	48	161	255	255	34	217	0	0	197	144	255	57	1	88	199	A
15	158	123	255	9	0	100	255	10	223	255	88	25	100	243	250	111	30	33	91	255	255	255	79	96	101	47	58	139	218	160	184	35	116	255	168	255	255	211	255	108	0	149	211	255	41	255	255	0	178	15	221	0	233	0	96	0	146	255	48	212	166	69	255	88	173	166	178	12	80	255	165	9	0	140	112	255	144	255	217	14	A
16	0	255	171	129	255	0	0	0	0	207	255	255	0	6	255	255	0	255	255	0	0	255	255	255	0	255	0	255	255	255	255	137	0	0	121	255	255	247	255	233	0	255	69	255	255	143	255	255	191	255	255	0	255	135	90	91	151	97	83	255	0	190	255	255	0	255	217	255	199	0	255	255	0	255	246	55	255	255	0	119	K
17	102	255	67	194	18	0	0	236	130	255	247	252	0	128	255	255	12	255	205	193	255	255	255	231	0	255	66	255	255	196	255	255	220	217	255	187	86	255	194	255	0	255	0	255	120	190	255	255	14	255	255	94	49	133	255	255	0	255	255	255	0	255	255	5	105	255	255	255	255	251	175	255	0	255	255	222	255	203	0	0	K
18	53	255	255	1	52	0	0	119	254	133	170	227	0	255	255	255	0	130	76	0	255	168	58	255	0	255	97	11	255	255	115	255	0	211	203	100	255	255	114	193	93	217	0	1	255	255	226	255	52	255	158	187	111	255	144	255	0	66	255	45	0	255	255	240	211	255	255	32	250	0	255	255	29	93	9	255	255	255	182	105	K
19	0	253	255	221	88	242	0	52	0	255	255	255	86	118	23	24	16	170	167	61	255	45	255	134	0	254	170	255	255	8	53	220	0	137	75	178	214	255	255	255	0	154	0	255	160	27	95	255	166	255	245	88	49	42	79	255	39	255	255	165	0	164	7	106	248	255	1	189	255	0	255	255	129	9	240	37	211	255	52	0	K
20	188	112	185	244	29	0	0	0	66	255	130	128	0	92	217	234	0	25	64	55	215	103	255	158	0	125	114	143	255	8	255	66	134	59	35	126	114	255	246	24	0	255	57	20	165	114	181	33	17	35	203	0	33	255	190	255	89	255	5	255	0	42	214	111	0	225	255	255	88	219	165	227	218	255	166	226	196	255	199	117	K
21	255	250	0	0	193	239	211	255	0	255	255	255	255	255	255	231	255	226	255	160	53	255	255	0	50	255	255	132	255	255	255	0	122	255	240	189	255	255	255	0	255	20	0	0	0	30	0	255	255	255	255	255	255	255	255	23	125	255	255	255	255	255	255	54	0	255	255	195	219	255	255	66	255	155	0	181	0	36	0	255	3
22	255	0	0	0	0	0	198	255	0	167	233	255	151	232	255	0	210	255	255	255	255	255	255	199	255	255	255	255	44	255	217	227	255	108	255	167	135	220	120	0	255	101	94	210	0	0	0	255	199	26	7	255	193	255	255	0	11	120	255	255	255	255	162	0	0	255	255	255	158	183	148	231	255	0	241	0	151	181	0	255	3
23	255	0	0	53	232	0	0	255	190	255	255	94	73	36	255	0	207	255	255	255	119	255	255	222	197	175	255	135	220	255	255	0	255	88	94	255	255	72	255	0	255	102	0	19	12	250	36	255	185	255	126	134	142	179	255	214	255	56	255	255	255	110	150	0	27	185	255	213	253	255	255	11	255	60	0	0	246	157	125	255	3
24	163	0	247	0	0	193	0	169	0	173	255	52	255	171	48	199	255	255	255	50	255	182	150	88	255	255	255	95	255	255	255	152	255	242	9	170	158	255	171	2	156	180	110	36	191	170	229	255	113	2	29	95	19	5	255	0	255	255	255	220	232	95	66	57	133	95	248	158	255	29	72	0	181	219	0	139	0	0	0	255	3
25	230	0	38	100	158	0	112	104	220	88	239	168	38	255	11	4	41	6	255	93	250	255	51	0	77	255	255	255	68	229	82	0	31	252	208	124	255	220	255	177	255	88	106	0	170	224	0	255	232	145	75	255	158	111	255	109	24	255	226	227	249	216	234	170	109	46	69	47	209	201	255	0	176	32	136	0	0	153	45	255	3
26	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	O-S
27	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	O-S
28	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	O-S
29	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	O-S
30	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	O-S
31	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	O-S
32	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	O-S
33	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	O-S
34	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	O-S
35	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	O-S
36	255	255	0	0	0	0	0	255	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
37	255	255	0	0	0	255	255	255	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
38	255	255	255	0	0	255	255	255	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
39	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
40	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	255	255	255	255	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
41	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	0	255	255	0	0	0	0	0	255	255	S-A
42	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	0	0	0	0	255	255	S-A
43	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	0	0	0	255	0	S-A
44	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	0	0	0	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	S-A
45	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	S-A
46	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	A-K
47	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
48	255	255	255	0	0	255	255	255	255	255	0	255	255	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
49	0	255	255	0	0	255	255	255	0	255	0	255	255	0	255	255	0	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	0	0	0	0	0	0	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
50	0	255	255	0	0	255	255	255	0	255	0	255	255	0	255	255	0	0	255	255	255	255	0	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	0	0	0	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
51	0	255	255	0	0	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
52	0	255	255	0	255	255	255	255	0	255	0	255	0	255	255	255	0	0	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
53	0	255	255	255	255	0	0	0	0	255	255	255	0	255	255	255	0	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
54	0	255	255	255	255	0	0	0	0	255	255	255	0	255	255	255	0	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	0	255	255	0	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	A-K
55	0	255	255	255	255	0	0	0	0	255	255	255	0	255	255	255	0	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	0	255	255	0	255	255	255	255	0	255	255	255	0	255	255	255	0	255	255	255	255	0	255	255	0	255	255	255	255	255	0	0	A-K
56	0	255	255	255	255	0	0	0	0	255	255	255	0	255	255	255	0	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	0	255	255	0	255	255	255	255	0	255	255	255	0	255	255	255	0	255	255	255	255	0	255	255	0	255	255	255	255	255	0	0	K-3
57	255	255	255	255	255	0	0	255	0	255	255	255	0	255	255	255	0	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	0	255	255	0	255	255	255	255	0	255	255	255	0	255	255	255	0	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	K-3
58	255	255	255	255	255	0	0	255	0	255	255	255	0	255	255	0	0	255	255	0	255	255	255	0	0	255	0	255	255	255	255	0	0	0	255	255	255	255	255	0	0	255	0	255	255	255	0	255	0	255	255	0	255	255	255	0	0	255	255	255	0	255	255	0	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	K-3
59	255	255	255	255	255	0	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	255	255	255	255	255	0	0	255	0	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	K-3
60	255	255	255	255	0	0	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	0	255	255	255	255	255	0	0	255	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	0	0	0	255	K-3
61	255	255	255	255	0	0	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	0	0	0	255	K-3
62	255	255	255	0	0	0	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	0	0	0	0	0	255	K-3
63	255	0	0	0	0	0	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	K-3
64	255	0	0	0	0	0	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	K-3
65	255	0	0	0	0	0	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	K-3
66	255	0	0	0	0	0	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	3-O
67	255	255	0	0	0	0	255	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	255	0	0	0	0	255	255	3-O
68	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	0	0	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
69	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	0	0	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
70	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
71	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
72	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
73	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
74	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	255	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
75	255	255	0	0	0	0	255	255	255	0	255	255	255	255	0	255	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	0	255	255	255	255	255	255	0	255	0	255	255	255	255	0	255	255	255	0	0	0	0	255	255	3-O
